year,PM10,NO2,O3
2011,19.122692307692308,15.319972505441632,48.40198261068527
2012,16.285125348189418,13.878262358716748,50.81533553983108
2013,17.090358126721764,14.033454274922741,46.87828764766601
2014,14.511318681318683,12.433788107105597,49.833421753735664
2015,15.723812154696134,13.83003505901601,54.143872335548934
2016,14.011010928961749,12.93050263004091,51.838506560182545
2017,14.104710743801654,12.63184471756086,54.270724819938266
2018,14.31918309859155,10.989101640892455,56.855166628361296
2019,14.75728021978022,10.825418177564627,57.937032339161235
2020,14.032797783933518,8.857140843415952,53.590581809819476
2021,13.39065934065934,8.509046617595512,50.870481307876986
2022,14.198356164383563,9.419140397813191,57.46216472469728
2023,13.238164383561644,7.272483331383787,58.10621111619396
