,year,pollen_ambroisie_avg,pollen_ambroisie_avg_pred
0,1995,11.727272727272727,10.224645692750187
1,1996,8.782608695652174,10.086974931009763
2,1997,4.454545454545454,9.949304169269396
3,1998,16.4,9.81163340752903
4,1999,11.461538461538462,9.673962645788606
5,2000,10.857142857142858,9.53629188404824
6,2001,8.571428571428571,9.398621122307873
7,2002,5.666666666666667,9.260950360567449
8,2003,10.4,9.123279598827082
9,2004,4.916666666666667,8.985608837086659
10,2005,9.419354838709678,8.847938075346292
11,2006,7.217391304347826,8.710267313605925
12,2007,12.592592592592593,8.572596551865502
13,2008,3.9047619047619047,8.434925790125135
14,2009,8.074074074074074,8.297255028384768
15,2010,9.6875,8.159584266644345
16,2011,7.6,8.021913504903978
17,2012,9.204545454545455,7.884242743163611
18,2013,8.75,7.7465719814231875
19,2014,7.9,7.608901219682821
20,2015,6.846153846153846,7.471230457942454
21,2016,10.357142857142858,7.33355969620203
22,2017,8.125,7.195888934461664
23,2018,10.304347826086957,7.058218172721297
24,2019,6.472222222222222,6.920547410980873
25,2020,2.7714285714285714,6.782876649240507
26,2021,6.608695652173913,6.64520588750014
27,2022,5.782608695652174,6.507535125759716
28,2023,5.764705882352941,6.3698643640193495
